Offset,MIDI
328.8,46
329.6,46
329.6,45
330.4,45
331.2,46
332.0,45
332.8,46
332.8,47
333.6,45
335.2,47
336.0,45
336.0,47
336.0,46
337.6,46
337.6,47
338.4,45
339.2,45
339.2,46
340.0,47
340.8,45
341.6,48
342.4,46
342.4,48
343.2,45
344.0,45
344.8,46
345.6,47
345.6,48
345.6,46
346.4,47
347.2,45
348.0,49
348.8,49
348.8,45
349.6,46
350.4,47
352.0,46
352.0,47
352.0,45
352.8,45
354.4,45
355.2,46
355.2,47
355.2,45
356.8,45
358.4,47
358.4,46
360.0,47
360.0,46
360.8,46
361.6,47
361.6,46
362.4,45
363.2,46
363.2,48
364.0,46
364.8,48
364.8,45
364.8,47
365.6,45
366.4,45
367.2,47
368.0,45
368.0,47
368.0,46
368.0,49
369.6,47
369.6,46
370.4,45
371.2,49
372.0,45
372.0,47
372.8,47
373.6,48
374.4,46
374.4,48
375.2,45
376.0,49
376.0,46
376.8,46
377.6,47
377.6,49
378.4,47
379.2,46
380.0,49
380.8,49
380.8,47
381.6,46
382.4,47
384.0,46
384.0,45
384.0,47
384.8,45
385.6,45
386.4,45
387.2,45
388.0,45
388.8,45
390.4,46
390.4,45
392.0,46
392.8,46
393.6,45
393.6,46
394.4,45
395.2,46
396.0,47
396.8,45
396.8,46
396.8,47
397.6,45
399.2,47
400.0,47
400.0,46
401.6,46
401.6,47
402.4,45
403.2,45
403.2,46
404.0,47
404.8,45
405.6,48
406.4,48
406.4,46
407.2,45
408.0,46
408.0,47
408.8,46
409.6,46
409.6,47
410.4,47
411.2,45
412.0,45
412.0,49
412.8,49
413.6,46
414.4,47
416.0,46
416.0,45
416.0,47
416.8,45
418.4,45
419.2,47
419.2,46
419.2,45
420.0,47
420.8,45
422.4,46
424.0,46
424.0,47
424.0,45
424.8,46
425.6,45
425.6,46
426.4,45
427.2,48
427.2,46
428.0,48
428.8,46
428.8,48
428.8,47
429.6,45
430.4,45
431.2,47
432.0,46
432.0,47
432.0,48
433.6,46
433.6,47
434.4,45
435.2,48
435.2,47
436.0,45
436.0,47
436.8,47
437.6,48
438.4,45
438.4,48
439.2,45
440.0,49
440.8,46
441.6,45
441.6,49
442.4,47
443.2,46
444.0,49
444.0,46
444.8,47
444.8,49
445.6,46
446.4,47
448.0,48
448.0,46
448.0,45
448.0,47
448.8,45
449.6,45
450.4,45
451.2,45
452.0,47
452.8,45
454.4,46
454.4,45
454.4,47
456.0,45
456.0,46
456.8,46
457.6,46
457.6,45
458.4,45
459.2,46
460.0,49
460.8,47
460.8,46
461.6,45
463.2,47
464.0,49
464.0,45
464.0,46
464.0,47
465.6,46
465.6,47
466.4,45
467.2,47
467.2,46
468.0,46
468.0,47
468.8,45
469.6,48
470.4,46
470.4,48
471.2,45
472.0,47
472.8,46
473.6,47
473.6,48
474.4,47
475.2,45
476.0,49
476.8,45
476.8,49
477.6,46
478.4,47
480.0,45
480.0,49
480.0,47
480.8,45
482.4,45
483.2,47
483.2,46
483.2,45
484.0,45
484.8,45
