MIDI,Offset
"(45, 47)","[86.666667, 193.333333, 353.333333, 460.0, 620.0, 726.666667, 886.666667, 993.333333, 1066.666667, 1153.333333, 1260.0, 1420.0, 1526.666667, 1600.0, 1686.666667, 1793.333333, 1953.333333, 2060.0]"
"(45, 48)","[90.666667, 304.0, 517.333333, 730.666667, 944.0, 1157.333333, 1370.666667, 1584.0, 1797.333333, 2010.666667]"
"(46, 49)","[93.333333, 206.666667, 384.0, 473.333333, 626.666667, 740.0, 810.666667, 1006.666667, 1160.0, 1237.333333, 1273.333333, 1540.0, 1664.0, 1693.333333, 1806.666667, 2073.333333, 2090.666667]"
"(47, 49)","[101.333333, 202.666667, 208.0, 314.666667, 400.0, 405.333333, 416.0, 421.333333, 506.666667, 520.0, 528.0, 629.333333, 634.666667, 741.333333, 832.0, 842.666667, 848.0, 933.333333, 954.666667, 1040.0, 1053.333333, 1056.0, 1061.333333, 1168.0, 1258.666667, 1269.333333, 1274.666667, 1381.333333, 1466.666667, 1482.666667, 1488.0, 1573.333333, 1586.666667, 1594.666667, 1685.333333, 1696.0, 1701.333333, 1808.0, 1909.333333, 1914.666667, 2000.0, 2021.333333, 2106.666667, 2112.0, 2120.0, 2122.666667, 2128.0]"
"(45, 49)","[153.333333, 154.666667, 306.666667, 309.333333, 368.0, 420.0, 581.333333, 686.666667, 736.0, 794.666667, 840.0, 953.333333, 1008.0, 1162.666667, 1220.0, 1221.333333, 1373.333333, 1434.666667, 1486.666667, 1589.333333, 1648.0, 1753.333333, 1861.333333, 1906.666667, 2016.0, 2020.0, 2074.666667]"
"(45, 47, 48)","[181.333333, 608.0, 1034.666667, 1461.333333, 1493.333333, 1888.0]"
"(46, 47, 48, 49)","[186.666667, 1253.333333]"
"(46, 47, 49)","[240.0, 413.333333, 946.666667, 1306.666667, 1480.0, 2013.333333]"
"(47, 48)","[298.666667, 362.666667, 725.333333, 789.333333, 1152.0, 1216.0, 1578.666667, 1642.666667, 2005.333333, 2069.333333]"
"(45, 46, 47, 48, 49)",[373.333333]
"(45, 46, 47, 48)","[453.333333, 746.666667, 906.666667, 1440.0, 1520.0, 1813.333333, 1973.333333]"
"(45, 46, 47, 49)","[480.0, 613.333333, 773.333333, 826.666667, 960.0, 1226.666667, 1546.666667, 1653.333333, 1680.0, 1840.0, 1893.333333, 1920.0]"
"(45, 47, 49)","[800.0, 1013.333333, 1866.666667, 2026.666667, 2080.0]"
