,Type,Channel,Note,Pitch,Velocity,Time,Duration
138,note_off,0,45,--,0,0,0.0
139,note_off,0,48,--,0,0,0.0
140,note_on,0,70,--,64,0,0.0
141,note_on,0,43,--,64,0,0.0
142,note_on,0,46,--,64,0,0.0
143,note_on,0,50,--,64,0,0.0
144,note_on,0,53,--,64,0,0.0
145,note_off,0,70,--,0,2048,2.0
146,note_on,0,64,--,64,0,0.0
147,note_off,0,43,--,0,0,0.0
148,note_off,0,46,--,0,0,0.0
149,note_off,0,50,--,0,0,0.0
150,note_off,0,53,--,0,0,0.0
151,note_on,0,42,--,64,0,0.0
152,note_on,0,46,--,64,0,0.0
153,note_on,0,49,--,64,0,0.0
154,note_on,0,52,--,64,0,0.0
155,note_off,0,64,--,0,2048,2.0
156,note_off,0,42,--,0,0,0.0
157,note_off,0,46,--,0,0,0.0
158,note_off,0,49,--,0,0,0.0
159,note_off,0,52,--,0,0,0.0
160,note_on,0,67,--,64,0,0.0
161,note_on,0,41,--,64,0,0.0
162,note_on,0,45,--,64,0,0.0
163,note_on,0,48,--,64,0,0.0
164,note_on,0,52,--,64,0,0.0
165,note_off,0,67,--,0,1024,1.0
166,note_on,0,65,--,64,0,0.0
167,note_off,0,65,--,0,512,0.5
168,note_on,0,67,--,64,0,0.0
169,note_off,0,67,--,0,512,0.5
170,note_on,0,69,--,64,0,0.0
171,note_off,0,69,--,0,512,0.5
172,note_on,0,72,--,64,0,0.0
173,note_off,0,72,--,0,512,0.5
174,note_on,0,74,--,64,0,0.0
175,note_off,0,74,--,0,512,0.5
176,note_on,0,77,--,64,0,0.0
177,note_off,0,77,--,0,512,0.5
178,note_off,0,41,--,0,0,0.0
179,note_off,0,45,--,0,0,0.0
180,note_off,0,48,--,0,0,0.0
181,note_off,0,52,--,0,0,0.0
182,note_on,0,79,--,64,0,0.0
183,note_on,0,50,--,64,0,0.0
184,note_on,0,53,--,64,0,0.0
185,note_on,0,57,--,64,0,0.0
186,note_off,0,50,--,0,2048,2.0
187,note_off,0,53,--,0,0,0.0
188,note_off,0,57,--,0,0,0.0
189,note_on,0,50,--,64,0,0.0
190,note_on,0,53,--,64,0,0.0
191,note_on,0,57,--,64,0,0.0
192,note_on,0,61,--,64,0,0.0
193,note_off,0,50,--,0,2048,2.0
194,note_off,0,53,--,0,0,0.0
195,note_off,0,57,--,0,0,0.0
196,note_off,0,61,--,0,0,0.0
197,note_on,0,50,--,64,0,0.0
198,note_on,0,53,--,64,0,0.0
199,note_on,0,57,--,64,0,0.0
200,note_on,0,60,--,64,0,0.0
201,note_off,0,79,--,0,1024,1.0
202,note_on,0,77,--,64,0,0.0
203,note_off,0,77,--,0,512,0.5
204,note_on,0,79,--,64,0,0.0
205,note_off,0,79,--,0,512,0.5
206,note_on,0,77,--,64,0,0.0
207,note_off,0,50,--,0,0,0.0
208,note_off,0,53,--,0,0,0.0
209,note_off,0,57,--,0,0,0.0
210,note_off,0,60,--,0,0,0.0
211,note_on,0,50,--,64,0,0.0
212,note_on,0,53,--,64,0,0.0
213,note_on,0,57,--,64,0,0.0
214,note_on,0,59,--,64,0,0.0
215,note_off,0,77,--,0,512,0.5
216,note_on,0,76,--,64,0,0.0
217,note_off,0,76,--,0,512,0.5
218,note_on,0,74,--,64,0,0.0
219,note_off,0,74,--,0,512,0.5
220,note_on,0,72,--,64,0,0.0
221,note_off,0,72,--,0,512,0.5
222,note_off,0,50,--,0,0,0.0
223,note_off,0,53,--,0,0,0.0
224,note_off,0,57,--,0,0,0.0
225,note_off,0,59,--,0,0,0.0
226,note_on,0,69,--,64,0,0.0
227,note_on,0,43,--,64,0,0.0
228,note_on,0,46,--,64,0,0.0
229,note_on,0,50,--,64,0,0.0
230,note_off,0,69,--,0,1024,1.0
231,note_on,0,74,--,64,0,0.0
232,note_off,0,74,--,0,512,0.5
233,note_on,0,69,--,64,0,0.0
234,note_off,0,43,--,0,512,0.5
235,note_off,0,46,--,0,0,0.0
236,note_off,0,50,--,0,0,0.0
237,note_on,0,43,--,64,0,0.0
238,note_on,0,46,--,64,0,0.0
239,note_on,0,50,--,64,0,0.0
240,note_on,0,54,--,64,0,0.0
241,note_off,0,43,--,0,2048,2.0
242,note_off,0,46,--,0,0,0.0
243,note_off,0,50,--,0,0,0.0
244,note_off,0,54,--,0,0,0.0
245,note_on,0,43,--,64,0,0.0
246,note_on,0,46,--,64,0,0.0
247,note_on,0,50,--,64,0,0.0
248,note_on,0,53,--,64,0,0.0
249,note_off,0,69,--,0,1024,1.0
250,note_on,0,69,--,64,0,0.0
251,note_off,0,69,--,0,512,0.5
252,note_on,0,72,--,64,0,0.0
253,note_off,0,72,--,0,512,0.5
254,note_on,0,74,--,64,0,0.0
255,note_off,0,43,--,0,0,0.0
256,note_off,0,46,--,0,0,0.0
257,note_off,0,50,--,0,0,0.0
258,note_off,0,53,--,0,0,0.0
259,note_on,0,43,--,64,0,0.0
260,note_on,0,46,--,64,0,0.0
261,note_on,0,50,--,64,0,0.0
262,note_on,0,52,--,64,0,0.0
263,note_off,0,74,--,0,512,0.5
264,note_on,0,68,--,64,0,0.0
265,note_off,0,68,--,0,512,0.5
266,note_on,0,67,--,64,0,0.0
267,note_off,0,43,--,0,0,0.0
268,note_off,0,46,--,0,0,0.0
269,note_off,0,50,--,0,0,0.0
270,note_off,0,52,--,0,0,0.0
271,note_on,0,45,--,64,0,0.0
272,note_on,0,49,--,64,0,0.0
273,note_on,0,53,--,64,0,0.0
274,note_on,0,55,--,64,0,0.0
275,note_off,0,67,--,0,512,0.5
276,note_on,0,65,--,64,0,0.0
277,note_off,0,65,--,0,512,0.5
278,note_off,0,45,--,0,0,0.0
279,note_off,0,49,--,0,0,0.0
280,note_off,0,53,--,0,0,0.0
281,note_off,0,55,--,0,0,0.0
282,note_on,0,62,--,64,0,0.0
283,note_on,0,38,--,64,0,0.0
284,note_on,0,41,--,64,0,0.0
285,note_on,0,45,--,64,0,0.0
286,note_on,0,48,--,64,0,0.0
287,note_off,0,62,--,0,2560,2.5
288,note_on,0,65,--,64,0,0.0
289,note_off,0,65,--,0,512,0.5
290,note_on,0,69,--,64,0,0.0
291,note_off,0,69,--,0,512,0.5
292,note_on,0,72,--,64,0,0.0
293,note_off,0,72,--,0,512,0.5
294,note_off,0,38,--,0,0,0.0
295,note_off,0,41,--,0,0,0.0
296,note_off,0,45,--,0,0,0.0
297,note_off,0,48,--,0,0,0.0
298,note_on,0,76,--,64,0,0.0
299,note_on,0,38,--,64,0,0.0
300,note_on,0,42,--,64,0,0.0
301,note_on,0,45,--,64,0,0.0
302,note_on,0,48,--,64,0,0.0
303,note_off,0,76,--,0,3072,3.0
304,note_on,0,74,--,64,0,0.0
305,note_off,0,74,--,0,1024,1.0
306,note_off,0,38,--,0,0,0.0
307,note_off,0,42,--,0,0,0.0
308,note_off,0,45,--,0,0,0.0
309,note_off,0,48,--,0,0,0.0
310,note_on,0,70,--,64,0,0.0
311,note_on,0,43,--,64,0,0.0
312,note_on,0,46,--,64,0,0.0
