,matrix_id,Start,Velocity,Note,Duration
0,1,0,64,0,40
1,1,0,64,0,2
2,1,0,64,0,5
3,1,0,64,0,1
4,1,0,64,0,8
5,1,0,64,0,10
6,1,0,64,0,4
7,1,0,64,0,20
8,1,10,64,1,1
9,1,20,64,1,2
10,1,25,64,5,1
11,1,40,64,3,1
12,1,40,64,1,4
13,1,50,64,5,2
14,1,50,64,1,5
15,1,50,64,0,1
16,1,65,64,6,1
17,1,80,64,6,1
18,1,80,64,1,8
19,1,80,64,3,2
20,1,90,64,0,1
21,1,100,64,5,4
22,1,100,64,1,10
23,1,100,64,0,2
24,1,105,64,3,1
25,1,120,64,6,1
26,1,125,64,5,5
27,1,130,64,0,1
28,1,130,64,6,2
29,1,145,64,3,1
30,1,160,64,6,2
31,1,160,64,3,4
32,1,160,64,0,1
33,1,170,64,4,1
34,1,180,64,0,2
35,1,185,64,2,1
36,1,200,64,1,20
37,1,200,64,5,8
38,1,200,64,0,4
39,1,200,64,3,5
40,1,200,64,2,1
41,1,210,64,3,2
42,1,210,64,4,1
43,1,225,64,0,1
44,1,240,64,6,2
45,1,240,64,2,1
46,1,250,64,0,5
47,1,250,64,5,10
48,1,250,64,4,1
49,1,260,64,6,4
50,1,260,64,0,2
51,1,265,64,0,1
52,1,280,64,0,1
53,1,290,64,1,1
54,1,290,64,3,2
55,1,305,64,5,1
56,1,320,64,0,2
57,1,320,64,3,8
58,1,320,64,5,1
59,1,320,64,6,4
60,1,325,64,6,5
61,1,330,64,1,1
62,1,340,64,4,2
63,1,345,64,0,1
64,1,360,64,0,4
65,1,360,64,5,1
66,1,370,64,1,1
67,1,370,64,2,2
68,1,385,64,0,1
69,1,400,64,1,40
70,1,400,64,3,10
71,1,400,64,2,2
72,1,400,64,0,8
73,1,400,64,6,1
74,1,400,64,6,5
75,1,410,64,0,1
76,1,420,64,4,2
77,1,420,64,3,4
78,1,425,64,3,1
79,1,440,64,3,1
80,1,450,64,0,1
81,1,450,64,0,2
82,1,450,64,0,5
83,1,465,64,6,1
84,1,480,64,3,1
85,1,480,64,6,4
86,1,480,64,2,2
87,1,490,64,0,1
88,1,500,64,4,2
89,1,500,64,5,20
90,1,500,64,0,10
91,1,505,64,6,1
92,1,520,64,0,4
93,1,520,64,6,8
94,1,520,64,2,1
95,1,525,64,3,5
96,1,530,64,0,2
97,1,530,64,4,1
98,1,545,64,0,1
99,1,560,64,0,2
100,1,560,64,0,1
101,1,570,64,4,1
102,1,580,64,3,4
103,1,580,64,1,2
104,1,585,64,2,1
105,1,600,64,6,5
106,1,600,64,0,1
107,1,610,64,4,1
108,1,610,64,5,2
109,1,625,64,2,1
110,1,640,64,5,1
111,1,640,64,5,2
112,1,640,64,0,4
113,1,640,64,6,8
114,1,650,64,6,10
115,1,650,64,1,1
116,1,650,64,0,5
117,1,660,64,1,2
118,1,665,64,0,1
119,1,680,64,4,4
120,1,680,64,0,1
121,1,690,64,1,1
122,1,690,64,0,2
123,1,705,64,5,1
124,1,720,64,0,8
125,1,720,64,0,1
126,1,720,64,5,2
127,1,725,64,3,5
128,1,730,64,1,1
129,1,740,64,2,4
130,1,740,64,1,2
131,1,745,64,5,1
132,1,760,64,3,1
133,1,770,64,0,2
134,1,770,64,0,1
135,1,785,64,6,1
136,1,800,64,3,20
137,1,800,64,2,4
138,1,800,64,0,5
139,1,800,64,6,2
140,1,800,64,6,10
141,1,800,64,6,1
142,1,810,64,0,1
143,1,820,64,0,2
144,1,825,64,3,1
145,1,840,64,6,1
146,1,840,64,4,4
147,1,840,64,3,8
148,1,850,64,4,5
149,1,850,64,3,2
150,1,850,64,0,1
151,1,865,64,3,1
152,1,880,64,0,1
153,1,880,64,3,2
154,1,890,64,4,1
155,1,900,64,0,10
156,1,900,64,0,2
157,1,900,64,0,4
158,1,905,64,2,1
159,1,920,64,2,1
160,1,925,64,2,5
161,1,930,64,6,2
162,1,930,64,4,1
163,1,945,64,0,1
164,1,960,64,3,2
165,1,960,64,6,8
166,1,960,64,2,4
167,1,960,64,2,1
168,1,970,64,4,1
169,1,980,64,0,2
170,1,985,64,0,1
171,1,1000,64,4,4
172,1,1000,64,0,1
173,1,1000,64,0,20
174,1,1000,64,5,40
175,1,1000,64,2,5
176,1,1010,64,6,2
177,1,1010,64,1,1
178,1,1025,64,5,1
179,1,1040,64,5,1
180,1,1040,64,0,8
181,1,1040,64,2,2
182,1,1050,64,3,10
183,1,1050,64,1,1
184,1,1050,64,4,5
185,1,1060,64,0,4
186,1,1060,64,4,2
187,1,1065,64,0,1
188,1,1080,64,5,1
189,1,1090,64,1,1
190,1,1090,64,0,2
191,1,1105,64,0,1
192,1,1120,64,0,4
193,1,1120,64,0,2
194,1,1120,64,6,1
195,1,1125,64,0,5
196,1,1130,64,0,1
197,1,1140,64,4,2
198,1,1145,64,3,1
199,1,1160,64,3,8
200,1,1160,64,1,4
201,1,1160,64,3,1
202,1,1170,64,0,1
203,1,1170,64,2,2
204,1,1185,64,6,1
205,1,1200,64,2,5
206,1,1200,64,3,1
207,1,1200,64,0,2
208,1,1200,64,6,10
209,1,1210,64,0,1
210,1,1220,64,5,4
211,1,1220,64,4,2
212,1,1225,64,6,1
213,1,1240,64,2,1
214,1,1250,64,4,5
215,1,1250,64,4,1
216,1,1250,64,2,2
217,1,1265,64,0,1
218,1,1280,64,5,4
219,1,1280,64,0,8
220,1,1280,64,0,1
221,1,1280,64,5,2
222,1,1290,64,4,1
223,1,1300,64,1,2
224,1,1300,64,6,20
225,1,1300,64,0,10
226,1,1305,64,2,1
227,1,1320,64,1,4
228,1,1320,64,0,1
229,1,1325,64,0,5
230,1,1330,64,0,2
231,1,1330,64,4,1
232,1,1345,64,2,1
233,1,1360,64,5,1
234,1,1360,64,4,8
235,1,1360,64,0,2
236,1,1370,64,1,1
237,1,1380,64,0,4
238,1,1380,64,1,2
239,1,1385,64,0,1
240,1,1400,64,0,5
241,1,1400,64,0,1
242,1,1410,64,5,2
243,1,1410,64,1,1
244,1,1425,64,5,1
245,1,1440,64,0,1
246,1,1440,64,5,4
247,1,1440,64,0,2
248,1,1450,64,1,1
249,1,1450,64,3,10
250,1,1450,64,1,5
251,1,1460,64,1,2
252,1,1465,64,5,1
253,1,1480,64,1,4
254,1,1480,64,2,8
255,1,1480,64,3,1
256,1,1490,64,5,2
257,1,1490,64,0,1
258,1,1505,64,6,1
259,1,1520,64,3,2
260,1,1520,64,6,1
261,1,1525,64,5,5
262,1,1530,64,0,1
263,1,1540,64,0,2
264,1,1540,64,0,4
265,1,1545,64,3,1
266,1,1560,64,6,1
267,1,1570,64,0,1
268,1,1570,64,6,2
269,1,1585,64,3,1
