Message,Note,Velocity,Time
note_on,0,64,0
note_off,0,64,67176
note_on,0,64,0
note_off,0,64,4478
note_off,0,64,62697
note_on,0,64,0
note_off,0,64,4478
note_off,0,64,62697
note_on,0,64,0
note_off,0,64,13435
note_off,0,64,53740
note_on,0,64,0
note_off,0,64,4478
note_off,0,64,62697
note_on,0,64,0
note_off,0,64,22392
note_off,0,64,44784
note_on,0,64,0
note_off,0,64,13435
note_off,0,64,53740
note_on,0,64,0
note_off,0,64,4478
note_off,0,64,62697
note_on,0,64,0
note_off,0,64,4478
note_off,0,64,62697
note_on,0,64,0
note_off,0,64,13435
note_off,0,64,53740
note_on,0,64,0
note_off,0,64,22392
note_off,0,64,44784
note_on,0,64,0
note_off,0,64,4478
note_off,0,64,62697
note_on,0,64,0
note_off,0,64,13435
note_off,0,64,53740
note_on,0,64,0
note_off,0,64,4478
note_off,0,64,62697
note_on,0,64,0
note_off,0,64,4478
