,Start,Velocity,Note,Duration
182,108.0,64,41.0,0.666667
183,108.666667,64,45.4,0.333333
184,109.0,64,50.9,0.333333
185,109.333333,64,56.0,0.666667
186,110.0,64,57.4,0.666667
187,110.666667,64,59.8,0.333333
188,111.0,64,48.5,1.0
189,112.0,64,51.2,1.0
190,113.0,64,50.6,0.333333
191,113.333333,64,47.5,0.666667
192,114.0,64,47.8,0.666667
193,114.666667,64,46.0,0.333333
194,115.0,64,47.6,0.333333
195,115.333333,64,45.5,0.666667
196,116.0,64,45.8,0.666667
197,116.666667,64,40.6,0.333333
198,117.0,64,36.5,0.333333
199,117.333333,64,41.6,0.666667
200,118.0,64,45.0,1.0
201,119.333333,64,50.2,0.666667
202,120.0,64,51.2,1.0
203,121.0,64,50.6,0.333333
204,121.333333,64,48.2,0.666667
205,122.0,64,45.5,0.666667
206,122.666667,64,46.0,0.333333
207,123.0,64,47.8,0.333333
208,123.333333,64,44.5,0.666667
209,124.0,64,43.7,0.666667
210,124.666667,64,40.6,0.333333
211,125.0,64,47.5,0.333333
212,125.333333,64,36.8,0.666667
213,126.0,64,38.3,0.666667
214,126.666667,64,36.5,0.666666
215,127.333333,64,47.9,0.666667
216,128.0,64,45.5,0.666667
217,128.666667,64,38.0,0.666666
218,129.333333,64,45.0,0.666667
219,130.0,64,43.0,0.666667
220,130.666667,64,46.4,0.333333
221,131.0,64,38.2,0.333333
222,131.333333,64,40.7,0.666667
223,132.0,64,38.6,1.0
224,133.0,64,43.7,0.333333
225,133.333333,64,43.0,0.666667
226,134.0,64,43.4,1.0
227,135.0,64,38.2,0.333333
228,135.333333,64,45.4,0.666667
229,136.0,64,44.0,0.666667
230,136.666667,64,36.5,0.333333
231,137.0,64,45.0,0.333333
232,137.333333,64,46.1,0.666667
233,138.0,64,45.5,0.666667
234,138.666667,64,43.1,0.333333
235,139.0,64,40.6,1.0
236,140.0,64,44.5,0.666667
237,140.666667,64,47.8,0.666666
238,141.333333,64,46.4,0.666667
239,142.0,64,36.2,0.666667
240,142.666667,64,47.9,0.333333
241,143.0,64,45.5,0.333333
242,143.333333,64,45.4,0.666667
243,144.0,64,45.5,0.666667
244,144.666667,64,45.0,0.333333
245,145.0,64,45.8,0.333333
246,145.333333,64,38.9,1.333334
247,146.666667,64,36.8,0.333333
248,147.0,64,43.0,1.0
249,148.0,64,44.0,0.666667
250,148.666667,64,47.6,0.333333
251,149.0,64,50.9,0.333333
252,149.333333,64,45.5,0.666667
253,150.0,64,47.8,0.666667
254,150.666667,64,50.6,0.333333
255,151.0,64,55.1,0.333333
256,151.333333,64,52.6,0.666667
257,152.0,64,51.2,0.666667
258,152.666667,64,55.4,0.333333
259,153.0,64,53.0,0.333333
260,153.333333,64,58.0,0.666667
261,154.0,64,59.9,0.666667
262,154.666667,64,48.8,0.333333
263,155.0,64,50.0,0.333333
264,155.333333,64,50.6,0.666667
265,156.0,64,48.5,0.666667
266,156.666667,64,43.0,0.333333
267,157.0,64,48.5,0.333333
268,157.333333,64,48.2,0.666667
269,158.0,64,53.0,0.666667
270,158.666667,64,52.7,0.66666699999998
271,160.0,64,49.0,0.666667
272,160.666667,64,53.0,0.333333
273,161.0,64,52.4,0.333333
274,161.333333,64,50.6,0.666667
275,162.0,64,50.2,0.666667
276,162.666667,64,53.6,0.333333
277,163.0,64,57.4,1.0
278,164.0,64,56.0,1.0
279,165.0,64,50.6,0.333333
280,165.333333,64,48.8,0.666667
281,166.0,64,47.8,0.666667
282,166.666667,64,47.5,0.666666
283,167.333333,64,52.6,0.666667
284,168.0,64,51.2,0.666667
285,168.666667,64,48.2,0.666666
286,169.333333,64,47.9,0.666667
287,170.0,64,47.5,0.666667
288,170.666667,64,45.5,0.333333
289,171.0,64,47.8,0.333333
290,171.333333,64,45.0,0.666667
291,172.0,64,46.0,0.666667
292,172.666667,64,43.0,0.333333
293,173.0,64,45.5,0.333333
294,173.333333,64,41.0,0.666667
295,174.0,64,45.8,0.666667
296,174.666667,64,45.5,0.333333
297,175.0,64,40.6,0.333333
298,175.333333,64,47.6,0.666667
299,176.0,64,38.6,0.666667
300,176.666667,64,40.7,0.333333
301,177.0,64,45.0,0.333333
302,177.333333,64,43.7,0.666667
303,178.0,64,45.4,0.666667
304,178.666667,64,46.4,0.333333
305,179.0,64,50.2,0.333333
306,179.333333,64,55.4,0.666667
307,180.0,64,53.0,0.666667
308,180.666667,64,50.0,0.666666
309,181.333333,64,47.6,0.666667
310,182.0,64,48.2,0.666667
311,182.666667,64,45.0,0.333333
312,183.0,64,45.5,0.333333
313,183.333333,64,47.8,0.666667
314,184.0,64,46.0,0.666667
315,184.666667,64,41.0,0.333333
316,185.0,64,44.5,0.333333
317,185.333333,64,40.6,0.666667
318,186.0,64,43.7,0.666667
319,186.666667,64,40.6,0.666666
320,187.333333,64,36.5,0.666667
321,188.0,64,36.8,0.666667
322,188.666667,64,47.8,0.333333
323,189.0,64,38.3,0.333333
324,189.333333,64,39.2,0.666667
325,190.0,64,36.5,0.666667
326,190.666667,64,45.5,0.333333
327,191.0,64,47.9,1.666667
328,193.0,64,38.0,0.333333
329,193.333333,64,45.8,0.666667
330,194.0,64,45.0,0.666667
331,194.666667,64,38.9,0.333333
332,195.0,64,43.0,0.333333
333,195.333333,64,45.8,0.666667
334,196.0,64,45.5,0.666667
335,196.666667,64,40.6,0.333333
336,197.0,64,40.7,0.333333
337,197.333333,64,36.2,0.666667
338,198.0,64,43.0,0.666667
339,198.666667,64,38.9,0.666666
340,199.333333,64,40.6,0.666667
341,200.0,64,43.0,1.0
342,201.0,64,41.0,0.333333
343,201.333333,64,43.1,0.666667
344,202.0,64,43.4,0.666667
345,202.666667,64,44.0,0.333333
346,203.0,64,45.4,0.333333
347,203.333333,64,47.5,0.666667
348,204.0,64,44.0,0.666667
349,204.666667,64,43.0,0.333333
350,205.0,64,36.5,0.333333
351,205.333333,64,46.4,0.666667
352,206.0,64,46.1,0.666667
353,206.666667,64,43.4,0.666666
354,207.333333,64,41.0,0.666667
355,208.0,64,43.1,0.666667
356,208.666667,64,38.9,0.666666
357,209.333333,64,36.5,0.666667
358,210.0,64,45.4,0.666667
359,210.666667,64,36.2,0.333333
360,211.0,64,47.8,0.333333
361,211.333333,64,38.6,0.666667
362,212.0,64,38.3,1.0
363,213.0,64,36.2,0.333333
364,213.333333,64,45.5,0.666667
365,214.0,64,47.9,0.666667
366,214.666667,64,40.4,0.333333
367,215.0,64,45.4,0.333333
368,215.333333,64,43.0,0.666667
369,216.0,64,41.0,0.666667
370,216.666667,64,37.0,0.333333
371,217.0,64,45.0,0.333333
372,217.333333,64,46.0,0.666667
373,218.0,64,38.9,0.666667
374,218.666667,64,44.0,0.333333
375,219.0,64,38.2,1.0
376,220.0,64,36.8,0.666667
377,220.666667,64,40.6,0.666666
378,221.333333,64,39.2,0.666667
379,222.0,64,45.8,0.666667
380,222.666667,64,46.1,0.333333
381,223.0,64,47.6,0.333333
