,0
132,note_on channel=0 note=48 velocity=64 time=0
133,note_off channel=0 note=76 velocity=0 time=3072
134,note_on channel=0 note=74 velocity=64 time=0
135,note_off channel=0 note=74 velocity=0 time=1024
136,note_off channel=0 note=38 velocity=0 time=0
137,note_off channel=0 note=42 velocity=0 time=0
138,note_off channel=0 note=45 velocity=0 time=0
139,note_off channel=0 note=48 velocity=0 time=0
140,note_on channel=0 note=70 velocity=64 time=0
141,note_on channel=0 note=43 velocity=64 time=0
142,note_on channel=0 note=46 velocity=64 time=0
143,note_on channel=0 note=50 velocity=64 time=0
144,note_on channel=0 note=53 velocity=64 time=0
145,note_off channel=0 note=70 velocity=0 time=2048
146,note_on channel=0 note=64 velocity=64 time=0
147,note_off channel=0 note=43 velocity=0 time=0
148,note_off channel=0 note=46 velocity=0 time=0
149,note_off channel=0 note=50 velocity=0 time=0
150,note_off channel=0 note=53 velocity=0 time=0
151,note_on channel=0 note=42 velocity=64 time=0
152,note_on channel=0 note=46 velocity=64 time=0
153,note_on channel=0 note=49 velocity=64 time=0
154,note_on channel=0 note=52 velocity=64 time=0
155,note_off channel=0 note=64 velocity=0 time=2048
156,note_off channel=0 note=42 velocity=0 time=0
157,note_off channel=0 note=46 velocity=0 time=0
158,note_off channel=0 note=49 velocity=0 time=0
159,note_off channel=0 note=52 velocity=0 time=0
160,note_on channel=0 note=67 velocity=64 time=0
161,note_on channel=0 note=41 velocity=64 time=0
162,note_on channel=0 note=45 velocity=64 time=0
163,note_on channel=0 note=48 velocity=64 time=0
164,note_on channel=0 note=52 velocity=64 time=0
165,note_off channel=0 note=67 velocity=0 time=1024
166,note_on channel=0 note=65 velocity=64 time=0
167,note_off channel=0 note=65 velocity=0 time=512
168,note_on channel=0 note=67 velocity=64 time=0
169,note_off channel=0 note=67 velocity=0 time=512
170,note_on channel=0 note=69 velocity=64 time=0
171,note_off channel=0 note=69 velocity=0 time=512
172,note_on channel=0 note=72 velocity=64 time=0
173,note_off channel=0 note=72 velocity=0 time=512
174,note_on channel=0 note=74 velocity=64 time=0
175,note_off channel=0 note=74 velocity=0 time=512
176,note_on channel=0 note=77 velocity=64 time=0
177,note_off channel=0 note=77 velocity=0 time=512
178,note_off channel=0 note=41 velocity=0 time=0
179,note_off channel=0 note=45 velocity=0 time=0
180,note_off channel=0 note=48 velocity=0 time=0
181,note_off channel=0 note=52 velocity=0 time=0
182,note_on channel=0 note=79 velocity=64 time=0
183,note_on channel=0 note=50 velocity=64 time=0
184,note_on channel=0 note=53 velocity=64 time=0
185,note_on channel=0 note=57 velocity=64 time=0
186,note_off channel=0 note=50 velocity=0 time=2048
187,note_off channel=0 note=53 velocity=0 time=0
188,note_off channel=0 note=57 velocity=0 time=0
189,note_on channel=0 note=50 velocity=64 time=0
190,note_on channel=0 note=53 velocity=64 time=0
191,note_on channel=0 note=57 velocity=64 time=0
192,note_on channel=0 note=61 velocity=64 time=0
193,note_off channel=0 note=50 velocity=0 time=2048
194,note_off channel=0 note=53 velocity=0 time=0
195,note_off channel=0 note=57 velocity=0 time=0
196,note_off channel=0 note=61 velocity=0 time=0
197,note_on channel=0 note=50 velocity=64 time=0
198,note_on channel=0 note=53 velocity=64 time=0
199,note_on channel=0 note=57 velocity=64 time=0
200,note_on channel=0 note=60 velocity=64 time=0
201,note_off channel=0 note=79 velocity=0 time=1024
202,note_on channel=0 note=77 velocity=64 time=0
203,note_off channel=0 note=77 velocity=0 time=512
