,Start,Velocity,Note,Duration
0,0.0,64,40.0,0.666667
1,0.666667,64,41.0,1.333334
2,2.0,64,43.0,0.666667
3,2.666667,64,44.0,0.666667
4,3.333333,64,41.0,0.666667
5,4.0,64,43.0,0.666667
6,5.333333,64,43.1,0.666667
7,6.666667,64,43.0,0.666667
8,7.333333,64,45.4,0.666667
9,8.0,64,46.0,0.666667
10,8.666667,64,41.0,0.666667
11,9.333333,64,41.3,0.666667
12,10.0,64,43.0,0.666667
13,10.666667,64,43.1,0.666667
14,11.333333,64,45.0,0.666667
15,12.666667,64,47.8,0.666667
16,13.333333,64,48.8,0.666667
17,14.666667,64,45.4,0.666667
18,15.333333,64,47.6,0.666667
19,16.0,64,46.4,0.666667
20,16.666667,64,47.5,0.666667
21,17.333333,64,53.0,0.666667
22,18.0,64,50.2,0.666667
23,18.666667,64,51.2,0.666667
24,19.333333,64,45.8,0.666667
25,20.0,64,46.0,0.666667
26,20.666667,64,50.0,0.666667
27,21.333333,64,45.5,0.666667
28,22.0,64,50.6,0.666667
29,22.666667,64,45.0,0.666667
30,23.333333,64,40.6,0.666667
31,24.0,64,41.6,0.666667
32,24.666667,64,36.2,0.666667
33,25.333333,64,36.5,0.666667
34,26.666667,64,36.8,0.666667
35,27.333333,64,36.5,0.666667
36,28.666667,64,45.4,1.333334
37,30.666667,64,46.0,0.666667
38,32.0,64,46.0,0.666667
39,33.333333,64,47.5,0.666667
40,34.0,64,43.0,0.666667
41,34.666667,64,41.0,0.666667
42,35.333333,64,40.7,0.666667
43,36.0,64,38.2,0.666667
44,36.666667,64,45.4,0.666667
45,37.333333,64,45.5,0.666667
46,38.0,64,45.0,0.666667
47,38.666667,64,45.8,0.666667
48,39.333333,64,40.6,0.666667
49,40.0,64,36.8,0.666667
50,41.333333,64,38.0,0.666667
51,42.0,64,43.4,0.666667
52,42.666667,64,43.1,0.666667
53,43.333333,64,41.0,0.666667
54,44.0,64,38.6,0.666667
55,44.666667,64,38.2,0.666667
56,45.333333,64,46.4,0.666667
57,46.0,64,45.5,0.666667
58,46.666667,64,41.3,0.666667
59,47.333333,64,41.0,0.666667
60,48.0,64,41.6,0.666667
61,48.666667,64,38.9,0.666667
62,49.333333,64,36.2,0.666667
63,50.0,64,47.8,1.333334
64,51.333333,64,47.9,0.666667
65,52.0,64,36.2,0.666667
66,53.333333,64,36.8,0.666667
67,54.0,64,41.0,0.666667
68,54.666667,64,36.5,0.666667
69,55.333333,64,47.8,0.666667
70,56.0,64,39.2,0.666667
71,56.666667,64,45.0,0.666667
72,57.333333,64,45.4,0.666667
73,58.666667,64,45.4,0.666667
74,60.0,64,40.0,0.666667
75,60.666667,64,45.4,0.666667
76,61.333333,64,46.0,0.666667
77,62.0,64,43.7,0.666667
78,62.666667,64,43.4,0.666667
79,63.333333,64,47.8,0.666667
80,64.0,64,47.9,0.666667
81,64.666667,64,45.0,0.666667
82,66.0,64,43.0,1.333334
83,68.0,64,43.0,0.666667
84,68.666667,64,46.1,0.666667
85,69.333333,64,41.0,0.666667
86,70.0,64,47.5,0.666667
