Offset,Midi
72.0,80
72.0,44
72.5,44
72.5,35
72.5,60
72.75,44
73.0,60
73.0,44
73.25,35
73.5,44
73.5,76
73.5,35
73.75,44
73.75,60
74.0,44
74.0,60
74.0,76
74.25,35
74.5,60
74.5,35
74.75,60
74.75,44
75.0,60
75.0,80
75.5,35
75.5,44
75.5,60
75.75,44
75.75,35
76.0,60
76.0,80
76.0,35
76.25,60
76.5,44
76.5,60
76.75,35
76.75,76
77.0,76
77.0,44
77.25,60
77.25,35
77.5,60
77.5,80
77.5,35
77.5,44
77.75,35
77.75,44
78.0,80
78.0,35
78.0,60
78.25,60
78.25,44
78.5,44
78.75,60
78.75,35
78.75,80
78.75,44
79.0,35
79.0,80
79.0,60
79.25,44
79.5,60
80.0,44
80.0,60
80.0,35
80.25,44
80.25,35
80.5,44
80.5,35
80.75,35
80.75,60
81.0,44
81.0,35
81.25,60
81.5,44
81.5,35
81.5,60
82.0,44
82.0,60
82.0,35
82.5,35
82.5,60
82.5,44
82.75,44
83.0,35
83.0,60
83.0,44
83.25,35
83.5,44
83.75,76
83.75,35
84.0,60
84.0,44
84.0,35
84.25,35
84.75,44
84.75,60
85.0,60
85.0,44
85.0,76
85.0,35
85.5,60
85.5,44
85.5,35
85.75,44
85.75,35
86.0,35
86.0,44
86.0,60
86.25,35
86.25,60
86.5,35
86.75,76
86.75,35
87.0,76
87.0,44
87.25,60
87.25,35
87.5,80
87.5,60
87.75,35
87.75,44
88.0,44
88.0,60
88.0,35
88.25,44
88.25,60
88.5,35
88.75,80
88.75,60
88.75,35
88.75,44
89.0,80
89.0,35
89.25,44
89.5,60
89.5,44
90.0,35
90.0,80
90.0,44
90.0,60
90.25,35
90.25,44
90.75,35
90.75,60
91.0,60
91.0,35
91.0,44
91.25,60
91.25,44
91.5,35
91.5,44
92.0,44
92.0,35
92.0,60
92.5,60
92.5,44
92.5,35
92.75,44
93.0,44
93.0,60
93.0,35
93.25,35
93.5,35
93.5,76
93.5,44
93.75,60
93.75,80
94.0,76
94.0,60
94.0,44
94.25,35
94.5,35
94.5,60
94.75,44
94.75,60
95.0,35
95.0,44
95.0,60
95.0,80
95.5,35
95.5,44
95.5,60
95.75,35
95.75,44
96.0,44
96.0,60
96.25,60
96.25,44
96.5,60
96.5,44
96.75,35
96.75,76
97.0,76
97.0,35
97.0,44
97.25,60
97.25,35
97.5,80
97.5,60
97.75,44
97.75,35
98.0,35
98.0,80
98.25,44
98.25,60
98.5,44
98.75,60
98.75,80
99.0,44
99.0,60
99.0,35
99.0,80
99.25,44
99.5,60
100.0,60
100.0,35
100.0,44
100.25,35
100.25,44
100.5,44
100.5,35
100.75,60
100.75,35
101.0,35
101.25,35
101.25,44
101.5,44
101.5,60
101.5,35
102.0,44
102.0,35
102.0,60
102.5,35
102.5,44
102.75,44
103.0,60
103.0,35
103.0,44
103.25,35
103.5,44
103.75,35
103.75,60
104.0,60
104.0,44
104.25,35
104.75,60
104.75,44
105.0,60
105.0,35
105.0,44
105.5,35
105.5,44
105.5,60
105.75,44
105.75,35
